1000 999
931 975 137
521 7 209
655 93 103
158 54 247
148 288 281
42 5 199
645 331 205
796 302 217
204 994 96
129 160 68
654 301 123
210 854 152
732 587 123
862 515 248
528 102 86
926 879 201
575 958 118
350 673 274
86 563 204
921 546 95
364 675 250
615 949 290
317 112 296
290 84 187
838 956 162
414 411 275
870 487 169
720 408 135
556 579 196
620 526 263
241 466 232
182 954 172
369 447 150
503 814 241
290 921 183
858 915 251
32 838 255
21 804 256
746 998 120
383 854 140
764 429 296
331 972 30
693 141 262
801 222 151
363 363 292
955 528 289
732 114 295
855 962 137
718 804 44
747 28 242
894 362 91
547 46 219
520 786 120
810 74 111
568 163 77
902 623 222
519 183 251
365 540 87
566 735 36
623 379 294
410 885 297
103 256 277
541 307 102
586 683 182
848 39 252
879 732 217
487 870 85
166 390 209
578 977 68
675 631 24
842 460 262
904 315 94
398 747 80
753 617 263
365 850 292
619 34 290
151 899 123
766 815 267
504 139 109
321 152 55
189 609 192
760 157 89
279 705 104
612 54 55
6 748 195
77 66 8
603 247 103
526 405 279
79 146 13
294 506 140
422 651 15
968 232 69
83 742 42
734 355 33
280 520 23
318 605 252
246 595 174
907 687 126
203 889 30
487 874 145
373 501 101
15 450 93
399 889 223
779 320 285
388 695 16
88 736 135
691 575 31
765 479 291
68 336 129
67 557 133
82 399 24
225 550 248
880 950 115
487 673 290
157 427 25
488 133 299
756 622 68
741 615 1
986 744 1
927 409 77
787 466 156
237 410 66
785 988 98
310 235 71
866 865 132
587 892 269
887 909 228
4 846 75
237 382 267
161 659 163
873 181 263
585 643 40
285 679 77
549 601 244
599 57 49
212 858 6
139 398 174
314 383 275
74 152 264
147 224 209
741 717 166
925 582 129
532 728 137
634 312 108
619 26 3
269 148 41
123 900 95
715 783 222
550 123 235
13 318 41
618 618 35
252 200 201
525 51 121
694 215 74
804 561 161
710 360 175
332 59 194
933 845 295
245 14 288
890 143 94
90 709 246
859 779 184
670 143 162
535 829 4
142 210 285
155 15 93
973 208 50
391 237 171
519 356 27
325 577 98
976 314 231
561 608 204
142 606 141
977 366 101
852 644 203
152 665 266
626 560 254
567 872 203
166 137 274
272 424 6
519 135 43
50 891 6
253 457 34
473 925 235
482 633 226
621 470 55
226 507 87
189 876 115
708 695 262
822 27 88
286 0 259
627 519 274
793 796 144
294 339 217
566 946 208
615 788 219
70 322 221
810 794 56
885 410 90
57 404 276
564 125 300
708 563 176
510 449 140
187 237 247
436 631 203
410 585 2
77 70 71
615 414 50
560 355 211
311 955 47
34 110 134
45 860 218
859 758 93
976 298 114
81 449 181
210 278 38
46 312 193
150 458 230
528 449 18
292 313 126
966 209 273
594 866 128
238 13 198
4 344 218
510 191 230
551 536 267
492 723 81
723 613 175
654 364 184
152 964 168
619 507 28
893 996 96
870 964 192
362 568 154
171 440 227
60 330 156
962 173 192
596 451 116
619 458 59
515 178 253
227 888 246
811 425 101
970 870 27
36 568 170
478 109 45
922 743 66
569 214 145
300 452 138
124 971 281
989 127 113
234 197 64
586 565 156
431 773 70
542 837 83
521 714 104
135 703 35
725 497 241
424 589 104
310 45 108
40 90 277
84 826 27
553 603 187
604 624 280
880 329 300
329 462 187
461 445 118
769 412 48
833 940 230
309 811 279
733 656 190
562 980 18
625 659 239
517 59 139
69 332 78
923 758 77
314 983 190
390 230 254
92 406 169
961 981 81
466 142 216
26 239 42
550 618 194
507 363 255
10 59 145
99 872 175
6 650 44
3 811 65
298 808 88
826 999 63
807 374 223
629 765 39
810 753 182
579 754 30
704 545 295
354 251 39
468 582 264
512 127 285
703 461 119
797 128 151
510 981 285
72 381 89
774 932 26
535 407 62
108 802 127
11 943 258
363 739 104
304 409 223
634 36 110
260 184 17
603 267 245
749 320 2
552 974 136
763 264 148
110 102 29
289 528 101
991 487 197
12 220 133
109 244 204
313 285 46
817 942 254
673 301 154
582 304 241
928 207 141
580 21 221
256 992 64
858 995 225
387 481 216
887 281 111
865 659 230
862 548 186
10 17 236
894 667 153
687 143 90
326 570 166
837 601 31
313 774 134
761 634 95
879 47 2
279 924 11
978 509 170
134 412 202
179 562 248
849 764 234
971 353 45
618 962 31
991 816 140
813 287 287
838 893 127
168 128 167
575 726 280
510 506 123
294 926 176
493 751 181
619 15 80
625 902 241
52 434 297
358 982 182
627 838 300
370 246 32
989 739 165
358 726 43
325 15 253
837 906 58
407 568 90
7 334 109
231 840 131
959 613 65
51 345 7
548 782 295
727 518 233
954 58 39
412 94 146
719 584 88
31 622 131
585 741 104
78 691 12
677 393 192
950 923 93
806 765 277
530 849 129
659 141 134
113 830 241
645 232 258
311 107 151
876 641 72
513 190 271
860 734 64
324 36 120
89 426 196
141 436 97
835 743 294
392 331 155
381 235 118
168 938 222
842 904 7
867 322 40
315 109 239
821 616 4
787 639 69
726 440 131
150 8 133
190 76 234
693 928 17
925 585 86
660 359 240
59 109 26
954 392 169
749 615 20
726 536 237
303 867 107
166 934 247
849 879 70
216 121 178
191 62 278
964 177 125
999 411 271
384 134 88
427 601 102
71 36 207
33 791 204
110 711 41
959 193 9
666 286 258
638 178 156
904 759 265
986 775 92
645 62 169
575 908 35
312 57 103
349 191 43
764 419 87
838 231 37
499 532 237
351 52 50
205 921 263
881 715 223
264 221 238
309 809 68
119 239 180
365 161 62
826 196 160
127 37 174
442 101 253
197 900 234
475 799 62
604 563 169
711 187 276
787 319 115
623 323 35
927 340 29
428 332 208
550 856 263
41 498 126
955 659 134
427 704 125
946 279 25
884 694 67
553 388 264
617 353 234
62 90 103
537 100 175
650 241 90
927 949 97
927 201 22
849 613 183
432 762 245
118 586 178
851 761 143
696 759 145
262 55 26
652 671 154
640 775 237
437 673 28
144 84 35
573 631 295
707 35 5
993 747 92
789 473 199
40 40 202
781 30 123
275 124 15
72 156 197
208 33 4
353 234 84
164 966 247
277 869 40
539 218 150
673 36 62
181 332 180
936 741 180
90 372 84
862 209 72
595 28 189
177 507 238
198 457 10
766 171 169
523 865 55
436 835 137
796 22 294
312 382 139
310 896 230
45 540 81
413 997 89
740 107 154
676 306 241
335 613 121
180 111 237
799 560 68
445 890 141
109 540 168
652 910 291
211 962 176
185 21 163
801 93 109
598 896 39
636 176 262
549 791 271
866 643 173
405 206 298
797 814 70
119 261 208
35 117 179
806 708 120
521 299 70
688 709 65
558 559 183
127 707 299
526 120 91
981 370 89
159 18 84
514 842 259
69 294 211
937 108 25
107 394 126
950 475 196
661 274 124
72 213 204
937 59 164
587 585 166
317 407 17
764 142 296
1 944 148
952 751 32
505 664 218
765 929 70
64 825 202
267 612 245
692 80 195
960 505 267
622 640 95
740 762 236
572 201 14
918 84 15
342 912 177
55 981 110
284 918 177
847 281 236
44 649 233
604 791 182
84 973 263
2 733 134
748 275 17
189 690 197
299 61 99
187 223 45
63 838 92
411 927 196
949 319 172
816 188 127
808 234 209
461 475 300
417 612 77
569 710 11
388 881 42
95 697 100
889 667 268
555 501 299
456 543 142
19 217 290
757 422 30
0 344 194
436 442 39
446 720 68
905 992 297
6 118 110
709 882 235
121 713 190
259 365 121
105 982 214
967 815 147
139 249 127
874 702 74
520 229 284
441 771 60
984 737 296
817 239 76
344 278 87
874 572 2
865 499 132
514 967 81
143 676 288
194 583 146
767 246 253
86 731 248
128 27 94
251 619 240
213 30 16
521 273 299
591 85 119
901 856 11
433 101 90
858 244 155
289 297 214
984 851 125
142 998 251
273 184 39
19 647 208
988 729 76
